"city","description","neighbourhood_cleansed"
"Melbourne","This shop front studio unit located 17 minutes from the airport and 5km from the CBD with 58 trams at doorstep surrounded by cafes, it is a basic room, No TV, No window.<br /><br />Because there is tram pass the unit, if you are sensitive to noise please bring your ear plug.<br />1 Double bed  suite max 2 people, short stay up to maximum 5 nights.<br /><br />Please keep bathroom floor dry. Thank you.","Moreland"
"Melbourne","6 Km from city, travel time 15-20 minutes by tram or train. Trams, Routes 70 or 75 are at the door. Train 5 min walk. Supermarkets, cafes, restaurants all close by. Beautiful quiet outlook over park and river. Many walking paths. Burnley Gardens, 25 acres, across the river. Secure locked parking for 2 vehicles. AUD$15 per vehicle per day.","Boroondara"
"Melbourne","Relax with the whole family at this peaceful place to stay. very close to Melbourne city and the Tullamarine international air port.","Hume"
"Melbourne","• Spacious formal lounge featuring with an adjoining dining zone which leads out to an outdoor pergola area with timber decking leaving plenty of room<br />• Central bathroom with bathtub and quality fittings<br />• Features include gas ducted heating, evaporative cooling, alarm system<br />• This standout residence is located within a close proximity to shops (CS Square), schools, parklands, transport facilities and is sure not to last long.","Melton"
"Melbourne","Unpretentious comfort in the heart of melbourne.<br /><br />Swimming pool and gym：<br />located on the 9th floor (Pool size Approx. 15m x 5m) <br /><br />NO complimentary Parking: <br />overnight parking is available at Crown casino “Multi level car park” 2 minutes walk away behind the apartment.<br />Please search and book online<br /><br />2 bedroom apartment on the 41st floor with a city view and central location right outside Melbourne city centre.<br /><br />Beds are Queen sized<br /><br />“The cloakroom” sky bar located on the 46th floor.","Melbourne"
"Melbourne","Urban Oasis | Stunning City Views | Prime Location<br /><br />Elevate your Melbourne stay in this luxurious 2-bedroom, 2-bathroom apartment. Immerse yourself in breathtaking city skyline views from the comfort of your private balcony.<br /><br />Perfect for:<br /><br />✅ Couples seeking a romantic getaway<br />✅ Families exploring the city<br />✅ Business travelers needing a stylish and convenient base","Melbourne"
"Melbourne","Enjoy a stay at this stunning South Melbourne apartment with panoramic bay views. Located next to the 109 tram line and just a 10 minute walk from the infamous South Melbourne Market, and 20 minute walk from Port Melbourne Beach or Southbank/CBD, this is the ideal spot to enjoy the best of Melbourne.","Port Phillip"
"Melbourne","🔸Double room room: The double room is a double bed, including a wall-type wardrobe, chair, etc., including water, electricity, coal, and unlimited Internet access. <br /><br />Detailed introduction: Near Monash University, Hungtingdale and Monash medical center, there is a free shuttle bus to Monash.Coles, WWS, Pharmacy, Post Office, Largest Hong Kong Supermarket and more<br /><br />House: The house has a back garden, at least 2 cars can be parked outside and in the garage, living room with sofa and TV! There are appliances such as rice cooker, kitchenware, pots and pans, and basic seasonings such as salt and sugar. Toilet paper is provided.<br /><br />In addition, our family recently arrived with a new member, a lively cute and sticky puppy. I hope you love it as we do.","Monash"
"Melbourne","Location, Location Location, this 3 bedroom apartments has it all! Only a short distance to Crown Entertainment Complex, Southbank Promenade restaurants and bars, Arts Centre, Federation square, public transport.<br /><br />This open plan 3 bedrooms 2 bathrooms is sure to complete your lifestyle with great amenities in a very central location.","Melbourne"
"Melbourne","Conveniently located at the heart of Melbourne’s renowned dining, shopping and entertainment precincts, this CBD studio offers the best of inner city living as well as the comforts of a king-size bed.<br /><br />After a day spent discovering the nearby sights, head home and open the glass doors to enjoy a wine alfresco as the sun sets, take a soak in the bathtub, or unwind with a movie. Take advantage of the sparkling indoor pool with sun loungers and a fully-equipped gym.","Melbourne"
"Melbourne","Large and beautiful private room for 1 person with everything you need.<br /><br />Make new friends and explore the city from our gorgeous house.<br />Our concept ‘hotel like within a shared environment’ comes with the opportunity to meet new people, form friendships but at the same time have your own space and be comfortable within your private room.<br /><br />We are a big provider of accommodation in Melbourne. Our houses are regularly cleaned and maintained.  All rooms are lockable and safe with everything you need.","Melbourne"
"Melbourne","Proximal to every bit of fun St Kilda may offer yet very quiet and peaceful. Enjoy 1-bedroom well-equipped apartment with stylish Jardan couch and curved TV. New Smeg appliances in the kitchen, quiet dishwasher, washing machine are here to accommodate your needs. There is also a tiny balcony for some fresh air as well as for fresh mint and rosemary.","Port Phillip"
"Melbourne","Flinders View Room Queen<br /><br />This hotel features a fitness centre, shared lounge, a restaurant and bar in Melbourne. The property is located 1.3 km from Southern Cross Station, 600 metres from Southbank Promenade and 600 metres from Federation Square. The hotel provides an indoor pool and room service and free WiFi throughout the property.","Melbourne"
"Melbourne","This recently refurbished two bedroom apartment is a Melbournian's staycation dream, or a traveller's delight! Bright, colourful and comfortable this apartment is suited for those seeking a weekend getaway or a longer family holiday. Long stays welcome.Comfortably sleeps 4 adults. Includes a full kitchen, spacious living/dining/lounge area, free WiFi, large & small balcony, washer/dryer, 2 bathrooms and residents' gym. Rollout bed  for child  in alcove in master bedroom available  on request","Melbourne"
"Melbourne","Enjoy the joys of  being in  a centrally located place close to all Melbourne has to offer: Queen Victoria market 10min walk, CBD 8 min walk, free tram zone 10 min walk, and many more! Awesome cafe in North Melbourne at your door step! <br />Your own private bedroom with shared living, bathroom and kitchen. <br />Free underground parking available for vehicles under 1.3m (sedan and smaller, not SUV) only.","Melbourne"
"Melbourne","This one-of-a-kind double-storey 5-bed luxury house is home away from home. Located in famous Sanctuary lakes resort, it is surrounded with lakes, golf courses, wetland and biking tracks. You can soak in the best sunset view from the rumpus room or one of the many bedroom terraces that overlook the breathtaking panoramic views across the lake.<br /><br />All the positive vibes for a relaxing space for friends or family. Equipped with all essential items for short or long-term stays.","Wyndham"
"Melbourne","Light-filled and spacious 2 bedrooms 1.5 bathrooms Tiara Tower Residence located in the Centre of Melbourne CBD Business district next to Crown Casino. This apartment comes with an outdoor balcony with amazing sea views and City Sunset View.  Amazing amenities include an indoor pool, free wifi, a minibar and TV in all rooms. Greatly suitable and spacious space for family stays or couples.","Melbourne"
"Melbourne","Huge private room and bathroom in newly renovated home, in the perfectly situated suburb of East St Kilda. Our kids have long moved out and we've been left with a big house perfect for hosting guests! Enjoy a peaceful and well looked after stay in a private room equipped with a queen sized bed, floor to ceiling mirrors, a desk, bar fridge, tea & coffee facilities and your own private balcony!","Port Phillip"
"Melbourne","Our apartment is ideally located in the heart of Melbourne CBD! You’ll be within walking distance of Melbourne Central Station, the State Library, RMIT University, Queen Victoria Market, Chinatown, and Flagstaff Gardens.<br /><br />Situated within the free tram zone, getting around the city is effortless.<br /><br />Unit located on a high floor, the unit boasts bright, airy interiors and stunning city views.<br /><br />We’ve recently upgraded to a pull-out sofa bed, accommodating one additional guest comfortably.","Melbourne"
"Melbourne","Located on the city fringe within the heart of hip and fashionable Caulfield North Just a short 20 min tram into the city or the train is only 5 min walk away with a direct 10 min commute into central Melbourne.<br />Walk to the trams, Caulfield Park and many shops or catch a short ride to St Kilda Cafes and restaurants.","Glen Eira"
"Melbourne","Experience Melbourne from this chic 2-bedroom, 2-bath apartment on the 19th floor. Perfect for up to 5 guests, it features a queen bed, bunk bed, reverse-cycle heating/cooling, and a fully equipped kitchen. Enjoy access to a pool, gym, spa, and sauna. With free Wi-Fi, smart TV, and secure key access, this centrally located apartment offers the ultimate blend of comfort and convenience. Book now for a memorable city escape!","Melbourne"
"Melbourne","This room is 1 of 3 rooms within the Airbnb guest townhouse. Each room contains a private ensuite. <br /><br />Location:<br />• Walking distance to Monash Medical Centre, Ronald McDonald House, Clayton station & shops. <br />• Chadstone and M-City Shopping Centres are within a short drive.<br />• The CBD is just a 30 min drive.  <br /><br />The location offers the perfect mix for medical professionals, visitors or anyone here for leisure. <br /><br />Easy self check-in with key code & instructions provided before your stay.","Monash"
"Melbourne","~ WELCOME TO ESCALA ~<br /><br />✔ Steps to Southern Cross Station<br />✔ Public transport at your doorstep<br />✔ DFO across the road - shop to your heart's content!<br />✔ Central heating & cooling throughout<br />✔ Stunning views from both bedrooms<br />✔ Experience Melbourne like a true local in the hustle & bustle of Melbourne<br />✔ Perfect for corporates, couples, or solo adventurists<br />✔ Fully stocked & equipped kitchen","Melbourne"
"Melbourne","This is a 2 Bedroom 2 Bathroom Apartment with a spacious Kitchen, Dining and Living space. <br /><br />The listing is for 1 private room - all other spaces are shared.<br /><br />We are In the process of furnishing the apartment however the bedroom has been furnished with double bed.","Melbourne"
"Melbourne","Perfectly located and within credibly easy reach of the city,our aim to provide a peaceful,relaxed and friendly environment.Here is safe and secure ideal for business travellers visiting Melbourne,I will do everything i can to make your visit more enjoyable as possibl and i am always contactable if i m not at home.","Maribyrnong"
"Melbourne","The whole group will enjoy easy access to everything from this centrally located place. Stay in Fitzroy and enjoy like locals with modern facilities and a superb city-edge sanctuary. Located only minutes to the city and  Fitzroy's exceptional lifestyle amenities, cafes, restaurants, shops and trams of buzzing Brunswick and Gertrude Streets, the Fitzroy and Carlton Gardens, East Melbourne medical precinct and the endless attractions of Melbourne's dynamic CBD.","Yarra"
"Melbourne","Welcome to Silver Birch Family Stay, your modern and comfortable home away from home in the heart of West Melbourne. This newly built double-story home is perfect for families, work trips, or weekend getaways — offering all the space, amenities, and convenience you need.<br /><br />Just 6 km from Melbourne’s CBD and close to public transport, Footscray Market, and Highpoint Shopping Centre, the location is unbeatable. Also available free WiFi, air conditioning, a full kitchen, and secure parking.","Maribyrnong"
"Melbourne","My place is close to cafes, resturants and bars. It is only few minutes walk to Albert park and St Kilda beach.","Port Phillip"
"Melbourne","Modern fully furnished apartment in a superb location just out of the CBD in the heart of South Melbourne. <br /><br />Newly renovated, very clean and quiet ground floor apartment with private entrance in a nice neighbourhood. <br /><br />Desk for work with very fast and reliable Telstra WiFi internet. 60” LED LCD TV. <br /><br />Fitted with a spacious fully equipped kitchen, however, nearby area is surrounded by a myriad of restaurants, bars and cafes to cater for any occasion. Also, don't miss the South Melbourne markets.","Port Phillip"
"Melbourne","Premium amenities, self-check-in, free parking and fast WiFi!<br /><br />A beautiful self-contained 2-bedroom heritage Victorian home with a recently renovated modern interior.<br /><br />A stone's throw from the CBD, immersed in the tranquillity afforded by one of Melbourne's most sought after suburbs.<br /><br />The space<br />The building was built in the 1890's with iconic Victorian style architecture and façade, yet brand new appliances and amenity.<br /><br />Guest Access<br />Entire house except for the third bedroom/study.","Moreland"
"Melbourne","Our home is a pretty 1940s renovated house on a quiet tree-lined street. The house has polished boards throughout and carpet in the bedrooms. There is both a front and rear garden, with a treehouse & trampoline. We love art & photography, so we have pieces up on most walls! We also have an upright piano. <br />We are a short walk from the Merri Creek, playgrounds, park. The tram to the city is 400 metres away. Nearby is a small shopping strip with cafés, a supermarket, pharmacy and post office etc.","Darebin"
"Melbourne","Relax in this spacious room bathed in natural light with a 180° city view and private bathroom. <br /><br />Tram Stop Right on Your Doorstep: lines 3, 5, 16, 64, 67.<br />Albert Park Next Door: Green space alert! Whether you're up for a morning run, a chill day on the grass, or just soaking in some nature vibes.<br />Fitzroy Street Just a Hop Away: Shops, supermarkets, pubs, clubs, all the eats, and cafés are just a short walk away. <br />We're LGBT+ friendly and welcome people from all backgrounds.","Port Phillip"
"Melbourne","My sun filled apartment is light and compact.  It has windows on three sides and sits amongst the trees.  You'll hear birds singing and maybe the thunk of a tennis ball.  Staying in the apartment is so easy - you just plonk yourself down, listen to some music, eat and drink.  It sits within a quiet bunch of flats and you can go down for a swim/float in the pool or have a game of tennis.  The court can't be booked but it's usually free and if not, just sit around the pool and enjoy the wait","Port Phillip"
"Melbourne","It is an elevated 2 bedroom balcony apartment offering an abundance of natural light. Situated one street from the beach & within 2 minutes to Acland St. Pullout sofa in the lounge<br /><br />Perfect location for all that going on over the festive season.<br /><br />Comprising: security entrance, entrance hall, separate kitchen, renovated bathroom with bath, 2 double bedrooms with BIR's & generous lounge leading to a sun-filled balcony.<br />Fetch TV<br />Optus Sport (Premiership)<br />Internet included<br /><br />Note: Lock up garage","Port Phillip"
"Melbourne","Located in popular Fitzroy, experience inner suburb living a stones throw from seriously great coffee, bars, street art, galleries and shopping. In Melbourne its the inner suburbs, not the CBD that are the place to be.","Yarra"
"Melbourne","Cosy quiet modern stunning townhouse with huge backyard, bbq, fireplace close public transport shopping plaza and cafes' only 6 km from cbd. Tv, foxtel wifi, central heating. Wood floorboards.","Darebin"
"Melbourne","Residential apartment on level 9 of 145 Queensberry St Carlton with 1 dedicated in-building PROPER CAR SPACE! <br /><br />key pick up from the Store located around the corner at 502 Swanston St, just 20 meters away from our car park entrance.<br />!! Key can be picked up from check-in time till 2am!!<br /><br />Tram stop in front of the key pick up shop.<br />FREE Wi-Fi provided<br />Building amenities (pool /gym) are NOT available.","Melbourne"
"Melbourne","This fully furnished apartment is located in the heart of Melbourne City, shopping district and the free tram zone. Just 5 minutes walk to trains, trams, cafes, restaurants, pubs, shopping, supermarkets and cinema. 10 mins walk to Flinders Station, Federation Square, Queen Victoria Market and offices. Designed to be chic, contemporary, functional, spacious, comfortable and convenient for our regular, long-staying executives, couples and solo travellers. Includes meet and greet check-in service.","Melbourne"
"Melbourne","This outstanding new five-bedroom home was in the famous Harcrest Community. Beautifully renovated from top to bottom and features quality brand new furnishings throughout. Three spacious master rooms with ensuites and the other two bedrooms share a central bathroom. The stylish open-plan living and fully equipped kitchen. Hotel standard bed linen and towel. Centre heating and evaporative cooling, free unlimited wifi and two parking.<br /> Two large playgrounds/gardens in the community for kids.","Knox"
