"city","description","neighbourhood_cleansed"
"NYC","2-bedroom apartment in the Bushwick-Ridgewood  Brooklyn area with your own private entrance! Apt has a full bathroom, full kitchen - gas stove and a full-sized fridge. Plenty of  restaurants that still deliver during this time. Everything within walking distance.  1 block away from the B26 and the B60. 5 min walk to both the L train or J train.(20 min to Manhattan)","Bushwick"
"NYC","Cozy private room in a shared 2 bedroom apt for rent from January 1st<br /><br />Fully furnished with 32 inch tv, queen size super comfy mattress, dresser, space heater etc. <br /><br />Harlem Nights bar is located 20 seconds from front door, laundry in building. 2/3/B/C trains all within 6-7 min walk. <br /><br />15-20 min train ride from virtually anywhere in manhattan.","Harlem"
"NYC","Welcome to my super central and cutely decorated apartment in the heart of Williamsburg. The studio/1BR is located just above East River Pilates & Modo Yoga and across Nitehawk Cinema. Trader Joe's is one block away. <br /><br />+Walk-in closet<br />+Samsung The Frame TV<br />+Bang Olufsen speaker<br />+Private backyard<br />+Air fryer<br />+Window AC","Williamsburg"
"NYC","Our small studio apartment is located in the center of Manhattan Midtown near Herald Square at the corner of 31st street & Broadway. Walking distance to everything, major subway lines & Penn Stations just steps away. Fully furnished apartment with your own Kitchen/Bathroom with 24-hour doorman/elevator/laundry room. We are located inside the beautiful historic national landmark building designed by Architect Henry Engelbert in the Second Empire style!","Midtown"
"NYC","**SELF CHECK-IN **<br />This ultra modern, spacious, pet-free, smoke-free studio suite has been curated in the shade of blue.  Nestled on the first floor of a small, apartment building & located in the heart of Lefferts Gardens, we are conveniently located within a 1-2 mile radius from spectacular Brooklyn landmarks:  Barclay's Center, Brooklyn Museum, Prospect Park, Brooklyn Botanical Garden and King's Theatre.  This suite has been designed with love for the ultimate Brooklyn experience!","Prospect-Lefferts Gardens"
"NYC","This stylish, quaint, studio is located in our beautiful brownstone in the heart of hip, bustling vibrant Crown Heights, just off Franklin Avenue. We would love to welcome you into our home while still offering you total privacy in our guest suite lockable studio. The studio packs a big punch in a small footprint offering a pull down Queen size murphy bed, your own kitchenette equipped with fridge, dishwasher, small range and microwave, as well as a private bathroom & washer/dryer.","Crown Heights"
"NYC","Welcome to your chic urban retreat on Canal Street! This 700sqft+ designer loft in the heart of the Lower East Side offers the perfect blend of style and comfort, ideal for a memorable New York City stay.","Chinatown"
"NYC","Room in a very spacious and bright top floor apartment with private balcony. Apt is updated and great for short and long stays. Less than 30 minutes to grand central.","Sunnyside"
"NYC","(ONLY 30+ DAYS AFTER SEPTEMBER 5) Please feel free to stay in our room. We have Alexa, as well as smart lights installed in most rooms. This is mainly for people looking for a quick stay. Our modern apartment will definitely exceed expectations and make you feel at home. Please keep in mind that we are very green, so we have made a few energy efficient changes to the space. See you soon!","Concourse"
"NYC","Welcome to your cozy, newly renovated Brooklyn retreat! Located on a quiet tree-lined street in Canarsie, this 3-bed 1.5-bath home with a host on premises offers a peaceful and convenient base for your stay. What sets this place apart is the rare availability of private parking--a true gem in New York City. Perfect for those exploring Brooklyn or heading into Manhattan. Inside, you'll find plenty of natural light and modern amenities, ideal for families, groups, or business travelers.","Canarsie"
